geom_key,d_max_mm,cure_days,rh_pct,design_id,n_rules_param,n_fail_param,n_warn_param,feasible_param,failed_rules_param,warned_rules_param,cure_label,split_mould,face_shell,web,n_cores,fillet_r,core_taper,mesh_watertight,mesh_euler,volume_mm3,volume_voxel_mm3,area_mm2,exposed_area_mm2,sa_to_vol_per_mm,max_wall_thickness_mm,mean_wall_thickness_mm,depth_mean_mm,depth_p95_mm,depth_max_mm,cavity_volume_mm3,voxel_pitch_mm,kt_family,notch_depth_mm,notch_root_radius_mm,meshed,mesh_error,min_section_p5_mm,min_section_min_mm,median_section_mm,n_ridge_voxels,kt,min_feature_nominal_mm,min_feature_measured_mm,section_over_dmax,score,score_lo,score_hi,score_mean,sub_aeration,sub_drying,sub_castability,sub_structural,dominant_failure_mode,failure_mode_text,penetration_depth_nom_mm,L_gas_nom_mm,L_dry_nom_mm,penetration_limiter,drying_ratio,cemented_fraction,min_feature_mm,n_mc,feasible,n_rules,n_fail,n_warn,failed_rules,warned_rules,a,b,c,n,ovoid,wall,aperture_r,t,groove_depth,groove_width,groove_pitch,joint,pattern,typology,evaluated_stage,material_volume_cm3,pareto_objectives,front_size,n_feasible_in_typology
shell_111,2.0,21.0,85.0,1001,7,0,0,True,,,21d/85%RH,True,,,,13.5,,True,0.0,1446294.4228570207,1458232.0,177303.3901639776,268812.0,0.18434103764010115,20.0,10.000881690527304,5.000440845263652,8.94427190999916,10.0,1644432.0,2.0,peterson_shoulder,2.1063375000000004,13.5,True,,17.88854381999832,14.422205101855956,20.0,8474.0,1.79,18.3,17.88854381999832,8.94427190999916,0.9975273768433653,0.9975273768433653,0.9975273768433653,0.9951124008817344,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,23.625,98.5484712562236,23.625,drainage,0.42328042328042326,1.0,17.88854381999832,250.0,True,12.0,0.0,0.0,,,75.8,71.6,105.8,3.3,0.1,18.3,29.8,,,,,,,shell,geometry+score,1446.2944228570207,max(score);min(volume_mm3);max(cavity_volume_mm3),105,1312
shell_128,2.0,14.0,90.0,1152,7,0,0,True,,,14d/90%RH,True,,,,10.5,,True,0.0,699204.0417562354,700960.0,88003.32752050651,148392.0,0.21169824241040858,20.0,9.601252083961406,4.800626041980703,8.717797887081348,10.0,469168.0,2.0,peterson_shoulder,1.6382625000000002,10.5,True,,17.88854381999832,14.422205101855956,18.33030277982336,2717.0,1.79,18.1,17.88854381999832,8.94427190999916,0.9975273768433653,5.084122976635849e-06,0.9975273768433653,0.7263390575358751,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,10.499999999999998,98.5484712562236,10.499999999999998,drainage,0.9523809523809526,1.0,17.88854381999832,250.0,True,12.0,0.0,0.0,,,71.8,60.3,64.0,3.1,0.3,18.1,16.9,,,,,,,shell,geometry+score,699.2040417562354,max(score);min(volume_mm3);max(cavity_volume_mm3),105,1312
shell_128,2.0,28.0,90.0,1153,7,0,0,True,,,28d/90%RH,True,,,,10.5,,True,0.0,699204.0417562354,700960.0,88003.32752050651,148392.0,0.21169824241040858,20.0,9.601252083961406,4.800626041980703,8.717797887081348,10.0,469168.0,2.0,peterson_shoulder,1.6382625000000002,10.5,True,,17.88854381999832,14.422205101855956,18.33030277982336,2717.0,1.79,18.1,17.88854381999832,8.94427190999916,0.9975273768433653,0.9975273768433653,0.9975273768433653,0.9853805943984325,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,20.999999999999996,98.5484712562236,20.999999999999996,drainage,0.4761904761904763,1.0,17.88854381999832,250.0,True,12.0,0.0,0.0,,,71.8,60.3,64.0,3.1,0.3,18.1,16.9,,,,,,,shell,geometry+score,699.2040417562354,max(score);min(volume_mm3);max(cavity_volume_mm3),105,1312
shell_128,2.0,21.0,85.0,1154,7,0,0,True,,,21d/85%RH,True,,,,10.5,,True,0.0,699204.0417562354,700960.0,88003.32752050651,148392.0,0.21169824241040858,20.0,9.601252083961406,4.800626041980703,8.717797887081348,10.0,469168.0,2.0,peterson_shoulder,1.6382625000000002,10.5,True,,17.88854381999832,14.422205101855956,18.33030277982336,2717.0,1.79,18.1,17.88854381999832,8.94427190999916,0.9975273768433653,0.9975273768433653,0.9975273768433653,0.9952674337493305,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,23.625,98.5484712562236,23.625,drainage,0.42328042328042326,1.0,17.88854381999832,250.0,True,12.0,0.0,0.0,,,71.8,60.3,64.0,3.1,0.3,18.1,16.9,,,,,,,shell,geometry+score,699.2040417562354,max(score);min(volume_mm3);max(cavity_volume_mm3),105,1312
shell_130,2.0,28.0,90.0,1171,7,0,0,True,,,28d/90%RH,True,,,,14.9,,True,0.0,610104.5887629773,612208.0,80487.55104797812,122760.0,0.2005200846771032,22.627416997969522,9.569683221945233,4.784841610972617,8.94427190999916,11.313708498984761,426536.0,2.0,peterson_shoulder,2.3247725000000004,14.9,True,,16.0,8.0,16.0,4500.0,1.79,25.8,16.0,8.0,0.9975273768433653,0.9539131362993358,0.9975273768433653,0.9787729226262053,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,20.999999999999996,98.5484712562236,20.999999999999996,drainage,0.5387480237611791,1.0,16.0,250.0,True,12.0,0.0,0.0,,,42.6,45.6,93.0,3.8,0.1,25.8,25.3,,,,,,,shell,geometry+score,610.1045887629773,max(score);min(volume_mm3);max(cavity_volume_mm3),105,1312
shell_130,2.0,21.0,85.0,1172,7,0,0,True,,,21d/85%RH,True,,,,14.9,,True,0.0,610104.5887629773,612208.0,80487.55104797812,122760.0,0.2005200846771032,22.627416997969522,9.569683221945233,4.784841610972617,8.94427190999916,11.313708498984761,426536.0,2.0,peterson_shoulder,2.3247725000000004,14.9,True,,16.0,8.0,16.0,4500.0,1.79,25.8,16.0,8.0,0.9975273768433653,0.9871796058507764,0.9975273768433653,0.9904041161131154,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,23.625,98.5484712562236,23.625,drainage,0.47888713223215923,1.0,16.0,250.0,True,12.0,0.0,0.0,,,42.6,45.6,93.0,3.8,0.1,25.8,25.3,,,,,,,shell,geometry+score,610.1045887629773,max(score);min(volume_mm3);max(cavity_volume_mm3),105,1312
shell_139,2.0,14.0,90.0,1251,7,0,0,True,,,14d/90%RH,True,,,,11.1,,True,0.0,1152805.130006228,1163656.0,156574.46163083217,245260.0,0.2107667558109957,16.97056274847714,9.080149618805976,4.540074809402988,8.0,8.48528137423857,1329664.0,2.0,peterson_shoulder,1.7318775000000002,11.1,True,,16.0,14.422205101855956,16.492422502470642,12097.0,1.79,16.2,16.0,8.0,0.9975273768433653,2.349422069685504e-05,0.9975273768433653,0.8172778592919383,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,10.499999999999998,98.5484712562236,10.499999999999998,drainage,0.8081220356417687,1.0,16.0,250.0,True,12.0,0.0,0.0,,,80.4,76.8,80.0,2.9,0.1,16.2,13.1,,,,,,,shell,geometry+score,1152.8051300062282,max(score);min(volume_mm3);max(cavity_volume_mm3),105,1312
shell_139,2.0,28.0,90.0,1252,7,0,0,True,,,28d/90%RH,True,,,,11.1,,True,0.0,1152805.130006228,1163656.0,156574.46163083217,245260.0,0.2107667558109957,16.97056274847714,9.080149618805976,4.540074809402988,8.0,8.48528137423857,1329664.0,2.0,peterson_shoulder,1.7318775000000002,11.1,True,,16.0,14.422205101855956,16.492422502470642,12097.0,1.79,16.2,16.0,8.0,0.9975273768433653,0.993331336138982,0.9975273768433653,0.9942795075296417,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,20.999999999999996,98.5484712562236,20.999999999999996,drainage,0.4040610178208843,1.0,16.0,250.0,True,12.0,0.0,0.0,,,80.4,76.8,80.0,2.9,0.1,16.2,13.1,,,,,,,shell,geometry+score,1152.8051300062282,max(score);min(volume_mm3);max(cavity_volume_mm3),105,1312
shell_139,2.0,21.0,85.0,1253,7,0,0,True,,,21d/85%RH,True,,,,11.1,,True,0.0,1152805.130006228,1163656.0,156574.46163083217,245260.0,0.2107667558109957,16.97056274847714,9.080149618805976,4.540074809402988,8.0,8.48528137423857,1329664.0,2.0,peterson_shoulder,1.7318775000000002,11.1,True,,16.0,14.422205101855956,16.492422502470642,12097.0,1.79,16.2,16.0,8.0,0.9975273768433653,0.9960183720468975,0.9975273768433653,0.997115341220652,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,23.625,98.5484712562236,23.625,drainage,0.35916534917411935,1.0,16.0,250.0,True,12.0,0.0,0.0,,,80.4,76.8,80.0,2.9,0.1,16.2,13.1,,,,,,,shell,geometry+score,1152.8051300062282,max(score);min(volume_mm3);max(cavity_volume_mm3),105,1312
shell_142,2.0,28.0,90.0,1279,7,0,0,True,,,28d/90%RH,True,,,,15.5,,True,0.0,413885.98280370753,415800.0,49428.43237767804,94340.0,0.2268879268879269,26.832815729997478,10.25486917553754,5.12743458776877,10.198039027185569,13.416407864998739,247744.0,2.0,peterson_shoulder,2.4183875000000006,15.5,True,,16.0,14.422205101855956,21.540659228538015,1422.0,1.79,37.4,16.0,8.0,0.9975273768433653,0.7348802753932849,0.9975273768433653,0.9607035872426308,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,20.999999999999996,98.5484712562236,20.999999999999996,drainage,0.63887656499994,1.0,16.0,250.0,True,12.0,0.0,0.0,,,55.7,50.3,68.5,2.3,0.3,37.4,23.5,,,,,,,shell,geometry+score,413.8859828037075,max(score);min(volume_mm3);max(cavity_volume_mm3),105,1312
