typology,grammar,pitch_mm,parting_axis,parting_coord_mm,parting_reason,reentrant_frac_chosen,draw_depth_mm,span_short_mm,span_long_mm,mould_wall_mm,wall_required_mm,wall_deflection_mm,wall_meets_target,p_design_kPa,wall_realised_min_mm,wall_realised_median_mm,flange_mm,flange_t_mm,key_base_d_mm,key_h_mm,keys_chiral,chirality_note,n_symmetries_measured,draft_requested_deg,draft_realised_lower_deg,draft_realised_upper_deg,relief_per_face_mm,core_strategy,core_formed_frac,n_gates,gate_clear_mm,n_drains_placed,n_drains_requested,drain_d_mm,drain_min_clearance_mm,n_bolts,block_mm3,unattributed_mm3,closure_residual_mm3,balance_exact,all_release_clear,controls_discriminate,all_watertight,euler_matches_holes,apertures_pass,sec_nominal_p5_mm,sec_ascast_p5_mm,sec_draft_cost_mm,n_parts,parts,failures
shell,ShellParams,1.25,2,-17.25,minimum re-entrant volume,5e-06,88.75,96.25,96.25,12.0,6.61,0.0167,True,16.46,11.25,17.54,58.75,26.75,12.0,8.0,True,chiral,41,1.614,1.608,1.611,2.5,loose_core,0.6474,3,26.0,3,4,6.0,11.32,6,3846916.0,0.0,0.0,True,True,True,True,True,False,23.18,23.05,0.14,4,lower;upper;core_lo;core_up,"aperture FAILS: narrowest as-cast section 23.0 mm, test >= 6 x d_max"
block,BlockParams,2.0,2,-1.0,all axes release cleanly; minimum draw depth,0.0,96.0,190.0,390.0,17.0,16.81,0.0966,True,17.8,15.23,20.0,58.75,26.75,12.0,8.0,True,chiral,3,1.492,1.492,1.492,2.5,integral_boss,0.9588,6,26.0,9,9,6.0,18.0,12,25637024.0,0.0,0.0,True,True,True,True,True,False,20.0,20.0,0.0,2,lower;upper,"aperture FAILS: narrowest as-cast section 20.0 mm, test >= 6 x d_max"
tile,TileParams,1.2,2,-0.4,all axes release cleanly; minimum draw depth,0.0,20.4,199.2,199.2,12.0,10.68,0.0705,True,3.78,10.8,12.0,58.75,26.75,12.0,8.0,True,chiral,6,3.0,3.0,3.0,1.07,integral_boss,1.0,4,26.0,5,5,6.0,46.8,9,6440022.7,0.0,0.0,True,True,True,True,True,True,38.4,38.4,0.0,2,lower;upper,
