design_id,geom_key,typology,evaluated_stage,d_max_mm,cure_days,rh_pct,cure_label,split_mould,a,aperture_r,b,c,core_taper,face_shell,fillet_r,groove_depth,groove_pitch,groove_width,joint,n,n_cores,ovoid,pattern,t,wall,web,n_rules_param,n_fail_param,n_warn_param,feasible_param,failed_rules_param,warned_rules_param,mesh_watertight,mesh_euler,volume_mm3,volume_voxel_mm3,area_mm2,exposed_area_mm2,sa_to_vol_per_mm,max_wall_thickness_mm,mean_wall_thickness_mm,depth_mean_mm,depth_p95_mm,depth_max_mm,cavity_volume_mm3,voxel_pitch_mm,kt_family,notch_depth_mm,notch_root_radius_mm,meshed,mesh_error,min_section_p5_mm,min_section_min_mm,median_section_mm,n_ridge_voxels,kt,min_feature_nominal_mm,min_feature_measured_mm,section_over_dmax,score,score_lo,score_hi,score_mean,sub_aeration,sub_drying,sub_castability,sub_structural,dominant_failure_mode,failure_mode_text,penetration_depth_nom_mm,L_gas_nom_mm,L_dry_nom_mm,penetration_limiter,drying_ratio,cemented_fraction,min_feature_mm,n_mc,feasible,n_rules,n_fail,n_warn,failed_rules,warned_rules,material_volume_cm3
25,shell_002,shell,geometry+score,4.0,28.0,90.0,28d/90%RH,True,43.1,7.9,62.7,60.1,,,13.9,,,,,3.6,,0.3,,,13.3,,7,1,1,False,aperture_not_jamming,fillet_fits_wall,True,0.0,411571.42760080966,409808.0,69705.8403792801,107280.0,0.2617811267715613,14.422205101855956,7.580272041900289,3.7901360209501447,6.324555320336759,7.211102550927978,324912.0,2.0,peterson_shoulder,2.1687475000000003,13.9,True,,12.0,11.313708498984761,12.0,4312.0,1.79,13.3,12.0,3.0,0.019950547536867307,0.019950547536867307,0.019950547536867307,0.01995054753686731,0.9975273768433653,1.0,0.02,1.0,castability,aggregate bridging / starved mould feature (defective casting),20.999999999999996,98.5484712562236,20.999999999999996,drainage,0.3433858357584752,1.0,12.0,250.0,False,12.0,2.0,1.0,aperture_not_jamming;measured_section_not_jamming,fillet_fits_wall,411.57142760080967
27,shell_003,shell,geometry+score,2.0,14.0,90.0,14d/90%RH,True,84.4,15.2,76.5,112.3,,,7.1,,,,,2.2,,0.1,,,28.5,,7,0,0,True,,,True,0.0,2043009.6955467397,2045616.0,161847.96233381078,287376.0,0.14048384447520942,29.93325909419153,14.214158279535434,7.107079139767717,13.564659966250536,14.966629547095765,953104.0,2.0,peterson_shoulder,1.1088750841366606,7.1,True,,28.0,20.0,28.284271247461902,5801.0,1.790391268461444,28.5,28.0,14.0,0.014053613672488363,1.3795124923137653e-09,0.9975273768433653,0.27797789637644676,0.02450084199697604,0.5735971716491579,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,10.499999999999998,98.5484712562236,10.499999999999998,drainage,1.425393290199597,0.7661535693893673,28.0,250.0,False,12.0,1.0,1.0,penetration_coverage,thickness_vs_penetration,2043.0096955467397
29,shell_003,shell,geometry+score,2.0,21.0,85.0,21d/85%RH,True,84.4,15.2,76.5,112.3,,,7.1,,,,,2.2,,0.1,,,28.5,,7,0,0,True,,,True,0.0,2043009.6955467397,2045616.0,161847.96233381078,287376.0,0.14048384447520942,29.93325909419153,14.214158279535434,7.107079139767717,13.564659966250536,14.966629547095765,953104.0,2.0,peterson_shoulder,1.1088750841366606,7.1,True,,28.0,20.0,28.284271247461902,5801.0,1.790391268461444,28.5,28.0,14.0,0.9975273768433653,0.5516385378090464,0.9975273768433653,0.9436247648096934,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,23.625,98.5484712562236,23.625,drainage,0.6335081289775986,1.0,28.0,250.0,True,12.0,0.0,0.0,,,2043.0096955467397
28,shell_003,shell,geometry+score,2.0,28.0,90.0,28d/90%RH,True,84.4,15.2,76.5,112.3,,,7.1,,,,,2.2,,0.1,,,28.5,,7,0,0,True,,,True,0.0,2043009.6955467397,2045616.0,161847.96233381078,287376.0,0.14048384447520942,29.93325909419153,14.214158279535434,7.107079139767717,13.564659966250536,14.966629547095765,953104.0,2.0,peterson_shoulder,1.1088750841366606,7.1,True,,28.0,20.0,28.284271247461902,5801.0,1.790391268461444,28.5,28.0,14.0,0.9975273768433653,0.0606494497449409,0.9975273768433653,0.9111267160759494,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,20.999999999999996,98.5484712562236,20.999999999999996,drainage,0.7126966450997985,1.0,28.0,250.0,True,12.0,0.0,0.0,,,2043.0096955467397
30,shell_003,shell,geometry+score,3.0,14.0,90.0,14d/90%RH,True,84.4,15.2,76.5,112.3,,,7.1,,,,,2.2,,0.1,,,28.5,,7,0,0,True,,,True,0.0,2043009.6955467397,2045616.0,161847.96233381078,287376.0,0.14048384447520942,29.93325909419153,14.214158279535434,7.107079139767717,13.564659966250536,14.966629547095765,953104.0,2.0,peterson_shoulder,1.1088750841366606,7.1,True,,28.0,20.0,28.284271247461902,5801.0,1.790391268461444,28.5,28.0,9.333333333333334,0.014053613672488363,1.3795124923137653e-09,0.9975273768433653,0.27797789637644676,0.02450084199697604,0.5735971716491579,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,10.499999999999998,98.5484712562236,10.499999999999998,drainage,1.425393290199597,0.7661535693893673,28.0,250.0,False,12.0,1.0,1.0,penetration_coverage,thickness_vs_penetration,2043.0096955467397
32,shell_003,shell,geometry+score,3.0,21.0,85.0,21d/85%RH,True,84.4,15.2,76.5,112.3,,,7.1,,,,,2.2,,0.1,,,28.5,,7,0,0,True,,,True,0.0,2043009.6955467397,2045616.0,161847.96233381078,287376.0,0.14048384447520942,29.93325909419153,14.214158279535434,7.107079139767717,13.564659966250536,14.966629547095765,953104.0,2.0,peterson_shoulder,1.1088750841366606,7.1,True,,28.0,20.0,28.284271247461902,5801.0,1.790391268461444,28.5,28.0,9.333333333333334,0.9975273768433653,0.5516385378090464,0.9975273768433653,0.9436247648096934,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,23.625,98.5484712562236,23.625,drainage,0.6335081289775986,1.0,28.0,250.0,True,12.0,0.0,0.0,,,2043.0096955467397
31,shell_003,shell,geometry+score,3.0,28.0,90.0,28d/90%RH,True,84.4,15.2,76.5,112.3,,,7.1,,,,,2.2,,0.1,,,28.5,,7,0,0,True,,,True,0.0,2043009.6955467397,2045616.0,161847.96233381078,287376.0,0.14048384447520942,29.93325909419153,14.214158279535434,7.107079139767717,13.564659966250536,14.966629547095765,953104.0,2.0,peterson_shoulder,1.1088750841366606,7.1,True,,28.0,20.0,28.284271247461902,5801.0,1.790391268461444,28.5,28.0,9.333333333333334,0.9975273768433653,0.0606494497449409,0.9975273768433653,0.9111267160759494,0.9975273768433653,1.0,1.0,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,20.999999999999996,98.5484712562236,20.999999999999996,drainage,0.7126966450997985,1.0,28.0,250.0,True,12.0,0.0,0.0,,,2043.0096955467397
33,shell_003,shell,geometry+score,4.0,14.0,90.0,14d/90%RH,True,84.4,15.2,76.5,112.3,,,7.1,,,,,2.2,,0.1,,,28.5,,7,0,1,True,,fillet_radius_preferred,True,0.0,2043009.6955467397,2045616.0,161847.96233381078,287376.0,0.14048384447520942,29.93325909419153,14.214158279535434,7.107079139767717,13.564659966250536,14.966629547095765,953104.0,2.0,peterson_shoulder,1.1088750841366606,7.1,True,,28.0,20.0,28.284271247461902,5801.0,1.790391268461444,28.5,28.0,7.0,0.013301087927920861,1.2360916406311461e-09,0.924093476515068,0.24717322398877542,0.02450084199697604,0.5735971716491579,0.8838978180655289,1.0,aeration,incomplete mineralisation (anoxic core) — the paper's Fig. 5 mode,10.499999999999998,98.5484712562236,10.499999999999998,drainage,1.425393290199597,0.7661535693893673,28.0,250.0,False,12.0,1.0,2.0,penetration_coverage,fillet_radius_preferred;thickness_vs_penetration,2043.0096955467397
35,shell_003,shell,geometry+score,4.0,21.0,85.0,21d/85%RH,True,84.4,15.2,76.5,112.3,,,7.1,,,,,2.2,,0.1,,,28.5,,7,0,1,True,,fillet_radius_preferred,True,0.0,2043009.6955467397,2045616.0,161847.96233381078,287376.0,0.14048384447520942,29.93325909419153,14.214158279535434,7.107079139767717,13.564659966250536,14.966629547095765,953104.0,2.0,peterson_shoulder,1.1088750841366606,7.1,True,,28.0,20.0,28.284271247461902,5801.0,1.790391268461444,28.5,28.0,7.0,0.8715612424856017,0.4890719739601801,0.9975273768433653,0.8335299462275034,0.9975273768433653,1.0,0.8838978180655289,1.0,castability,aggregate bridging / starved mould feature (defective casting),23.625,98.5484712562236,23.625,drainage,0.6335081289775986,1.0,28.0,250.0,True,12.0,0.0,1.0,,fillet_radius_preferred,2043.0096955467397
34,shell_003,shell,geometry+score,4.0,28.0,90.0,28d/90%RH,True,84.4,15.2,76.5,112.3,,,7.1,,,,,2.2,,0.1,,,28.5,,7,0,1,True,,fillet_radius_preferred,True,0.0,2043009.6955467397,2045616.0,161847.96233381078,287376.0,0.14048384447520942,29.93325909419153,14.214158279535434,7.107079139767717,13.564659966250536,14.966629547095765,953104.0,2.0,peterson_shoulder,1.1088750841366606,7.1,True,,28.0,20.0,28.284271247461902,5801.0,1.790391268461444,28.5,28.0,7.0,0.8539557658421293,0.054087959778318324,0.9975273768433653,0.8050499535753503,0.9975273768433653,1.0,0.8838978180655289,1.0,castability,aggregate bridging / starved mould feature (defective casting),20.999999999999996,98.5484712562236,20.999999999999996,drainage,0.7126966450997985,1.0,28.0,250.0,True,12.0,0.0,1.0,,fillet_radius_preferred,2043.0096955467397
